Unknown speaker,Survivor,Sigsbee,Politicians,Military personnel ,Journalists,Experts,"196 context hits for ""public"" / ""opinion"""
,,,,,,Undecided/Unclear,"ey regret that this oven should have taken place In a Spanish port . Spanish lawyers are of the opinion that oven If the disaster were scientifically proven to be other than accidental It would bo as"
,,Attack,,,,,"Ihoir Hearts , HAVANA PAPERS SH3UT OF AN ACCIDENT Sigsbeo and His Officers Hold a Far Different Opinion , RADICALS SHOW JOY AT THE DISASTER i Spnitlnli MrrrlituitN nt SnR < m Olclirntc by DrlnkliiK-"
Suspend Opinion,,,,,,,"with him . The 'first merely said : `` I have consistently refrained from oxprcss- . Inj ; any opinion of the Maine disaster. `` Later In the day ho wired : , No r.i-wppaper divers have been used on"
,,Suspend Opinion,,,,,"dvlco of Captain Slgsbeo to wait until all of the facts were brought to light before forming on opinion . `` Wo are waiting now . If It was accident wo shall mourn , but If It shall bo shown that It"
Attack,,,,,,,"n prevailed at Havana and at the time of th nulling the foreign population was general ! of the opinion that the Malno was destroyei by design . They cited among other thing In support of this theory"
Attack,,,,,,,"not . The nature of the damage to the port side box not been fully ottled , but the _ weight of opinion seems to bo that the lioio was madeby an external explosion . ' Captain Slesbeo thinks that the"
,,Suspend Opinion,,,,,"house tenders from Key West for crew and the few pieces of equipment still above water . Public opinion should be suspended till further report . All the otflcers are believed to be saved . Jenkins a"
,,Suspend Opinion,,,,,"eces of equipment still above walcr . No one had other clothes than those upon him . `` I'ublic opinion should be suspended till further report . All arc believed to bo saved . Jenkins and Merritt no"
,,Suspend Opinion,,,,,"e of a licet as desirable . The fact thai Capt . hiislico sug gests in his dispatch that public opinion should he suspended until further report , is regarded ai showing , not that he regards tho exp"
Accident,,,,,,,"ion . Wcro he that tho explosions wcro accidental , instead of suggesting a suspicion of public opinion , ho would relieve all doubt by declaring it to have been an accident . COSOKES3 WO N'T TAKE AC"
,,,,Undecided/Unclear,,,"eb. 18 Admiral Sicard telegraphed Secretary Long from Key West yesterday as follows : `` la the opinion of Lieut . John Hood of the .Maine , who has Just arrives 1 from Havana , the Maine cau never a"
,,,Accident,,,,"was not an accident When he came out of the white house Wednesday Secretary Long ex pressed the opinion that the ship had been destroyed by an accidental explo sion of its magazines and this was the"
,,,,,,Undecided/Unclear,"ht of which the horror may be just ly viewed Secretary Long undoubtedly sum marized the general opinion of the majority of the naval experts in find ing it impossible just now to state the cause of t"
Undecided/Unclear,,,,,,,"robably dis rupted condition of the hull of the ship to make out the cause of the explosion the opinion of a majority is that the ques tion will be easily settled by the simple observation of the con"
Accident,,,,,,,"that many people in the United States be lieve the explosion was accidental co incide with the opinion held by the Spanish officials and the excitement which followed the disaster has sub sided into"
,,Suspend Opinion,,,,,"ieces of equip ment still above wuter . No one lias other clothes tTian those upon him . Public opinion should be suspended until further report . All officers be lieved to be saved . Jenkins and Mer"
,,Suspend Opinion,,,,,"w pieces of equipment still above water . No one has other clothes than those upon him . Public opinion should be suspended until further report . All the officers are believed to be saved . Jenkins"
,,,,,,Undecided/Unclear,"ht of which the horror may be justly viewed . Secretary Long undoubtedly summarized the general opinion of the majority of naval experts in finding it impossible just now to state the cause of the de"
Undecided/Unclear,,,,,,,"to the probable condi tion of the hull of the ship to make sure he cause of the explosion , the opinion of the majority is that the question win De easily settled by a simple observation of the condi"
Accident,,,,,,,"n ant ( junior grade ) F. W. Jenkins and Assistant Engineer Darwin R. Merritt . - ' : BLANCO 'S OPINION . Washington , Feb. 16 . The Spanish aflaea tnat me occurrence was a chance accident , the undo"
Accident,,,,,,,"ent here today divers have not made any investigation of the wreck of the Maine and the general opinion expressed in Spanish circles is that the explosion occurred inside of the Maine . AN UNFATHOMAB"
Accident,,,,,,,"aster of the Maine Is Known to Every Man Who Reads a Newspaper WAR LIKE RUMORS DENIED k General Opinion That The Explosion was an Acci dent Sensational Story From Key West Without Foundation COMPLETE"
Accident,,,,,,,"ation of design . Therefore , my impression has been all along , and I rather think the general opinion preponderates in the same direction , that it must have been accidental . `` At the cabinet mee"
,,,,,,Attack,"from Sylvester Scovel under today 's date from Havana via Key West , says : `` The consensus of opinion of those who have studied the wreck closely is now that the explosion was caused by a submarine"
Attack,,,,,,,"prevailed at Havana , and at the time of sailing the foreign popula tion were generally of the opinion that the Maine was destroyed by design . They cited , among other things , in support of this s"
,,,Undecided/Unclear,,,,"investigation and full details in the light of which the horror may be justly viewed . tieneral Opinion Summarized . Secretary Long undoubtedly sum marized the general opinion of the ma jority of the"
,,,,,,Undecided/Unclear,"ustly viewed . tieneral Opinion Summarized . Secretary Long undoubtedly sum marized the general opinion of the ma jority of the naval experts in finding it impossible just now t state the cause of th"
Undecided/Unclear,,,,,,,"he accident hypothesis , all of which in the absence of any facts on which to base a reasonable opinion , were de cidedly unsatisfying . At the White House the president spent the evening in his offi"
Accident,,,,,,,"ieople Avill not he led into a con clusion , iTiitil the facts be established . The prevailing opinion now seems lo be against the theory that there Avas a Spaniard 's torpedo at Avork , and in favo"
,,Suspend Opinion,,,,,"ara ( magazine ) with pow der or dynamite below the water . SIGSBEE NOTIFIES LONG . Says Public Opinion Should Re Suspended Till Fully Reported . WASHINGTON , Feb. 16.—The secretary of the navy recei"
,,Suspend Opinion,,,,,"ts- Volume Till . Rapid City [ Black Hills ] , South Dakota , Friday , Feb. 18 1898 . Number 7. opinion should be suspended till further report . All officers believed to be saved . Jenkins and Mevri"
,,,Undecided/Unclear,,,,"a bepn given . Members of Congress , hlch nfllcinls nml foreign diplomats at Washington have no opinion to glvp , but a terrible suspicion prevails tlint the Spaniards it responsible fur the awful di"
,,Suspend Opinion,,,,,"ing pieces of equipment atlll above water No one had other clothes than those upon him . Public opinion should be suspended until further report . All of ? ficers are believed to be saved . Jenkins a"
,,,Attack,,,,"e destruction of the battleship , Maine , .seems to indicate that the undercur rent of official opinion is to the effect that it is more than like ] } - that the explosion was by design , not acciden"
,,,Attack,,,,"whatsoever that the explo ? sion was caused by a torpedo . He askert Mr. Long not to make this opinion pub ? lic until be bad proven it beyond a doubt . SCHOOL HOOKS , Tablets , Composi ? tion Hooks"
,,,,Undecided/Unclear,,,"lrallSicard telegraphed Secretary Long from Key Went yesterday afternoon as follows : `` In the opinion of Lieut..l ? hn Hood , of the Maine , who has just arrived ( rom Havana , the Maine can never"
,,Suspend Opinion,,,,,"house tenders from Key West fr crew and IJJM few pfwcea of equipment still above water . Public opinion should Ik- suspended till further report . All the officer '' are believed to be saved . Jenkin"
,,,,Attack,,,"no ot ExrxenB . As tha t.ffeet of Torpedo on th Outalda of a Ship . Washington . Feb. 10 . The opinion of one of the leading naval experts in the use af high explosives . Professor Alger , of the or"
,,Suspend Opinion,,,,,"ieces of equipment still above water . No one had other clothes than those upon him . `` Public opinion should be suspended until further report . All officers be lieved to be saved . Jenkins and Mer"
,,,,,,Undecided/Unclear,"here there was details in the light of which the horror may be justly viewed . ized the general opinion of the majority of the naval experts in finding it im- possible just now to state the cause of"
